Service Name,Port Number,Transport Protocol
coauthor,1529,udp
rap-service,1530,udp
rap-listen,1531,udp
miroconnect,1532,udp
virtual-places,1533,udp
micromuse-lm,1534,udp
ampr-info,1535,udp
ampr-inter,1536,udp
sdsc-lm,1537,udp
3ds-lm,1538,udp
intellistor-lm,1539,udp
rds,1540,udp
rds2,1541,udp
gridgen-elmd,1542,udp
simba-cs,1543,udp
aspeclmd,1544,udp
vistium-share,1545,udp
abbaccuray,1546,udp
laplink,1547,udp
axon-lm,1548,udp
shivasound,1549,udp
3m-image-lm,1550,udp
hecmtl-db,1551,udp
pciarray,1552,udp
sna-cs,1553,udp
caci-lm,1554,udp
livelan,1555,udp
veritas-pbx,1556,udp
veritas_pbx,1556,udp
arbortext-lm,1557,udp
xingmpeg,1558,udp
web2host,1559,udp
asci-val,1560,udp
facilityview,1561,udp
pconnectmgr,1562,udp
cadabra-lm,1563,udp
pay-per-view,1564,udp
winddlb,1565,udp
corelvideo,1566,udp
jlicelmd,1567,udp
tsspmap,1568,udp
ets,1569,udp
orbixd,1570,udp
rdb-dbs-disp,1571,udp
chip-lm,1572,udp
itscomm-ns,1573,udp
mvel-lm,1574,udp
oraclenames,1575,udp
moldflow-lm,1576,udp
hypercube-lm,1577,udp
jacobus-lm,1578,udp
ioc-sea-lm,1579,udp
tn-tl-r2,1580,udp
mil-2045-47001,1581,udp
msims,1582,udp
simbaexpress,1583,udp
tn-tl-fd2,1584,udp
intv,1585,udp
ibm-abtact,1586,udp
pra-elmd,1587,udp
pra_elmd,1587,udp
triquest-lm,1588,udp
vqp,1589,udp
gemini-lm,1590,udp
ncpm-pm,1591,udp
commonspace,1592,udp
mainsoft-lm,1593,udp
sixtrak,1594,udp
radio,1595,udp
radio-bc,1596,udp
orbplus-iiop,1597,udp
picknfs,1598,udp
simbaservices,1599,udp
issd,1600,udp
aas,1601,udp
inspect,1602,udp
picodbc,1603,udp
icabrowser,1604,udp
slp,1605,udp
slm-api,1606,udp
stt,1607,udp
smart-lm,1608,udp
isysg-lm,1609,udp
taurus-wh,1610,udp
ill,1611,udp
netbill-trans,1612,udp
netbill-keyrep,1613,udp
netbill-cred,1614,udp
netbill-auth,1615,udp
netbill-prod,1616,udp
nimrod-agent,1617,udp
skytelnet,1618,udp
xs-openstorage,1619,udp
faxportwinport,1620,udp
softdataphone,1621,udp
ontime,1622,udp
jaleosnd,1623,udp
udp-sr-port,1624,udp
svs-omagent,1625,udp
shockwave,1626,udp
t128-gateway,1627,udp
lontalk-norm,1628,udp
lontalk-urgnt,1629,udp
oraclenet8cman,1630,udp
visitview,1631,udp
pammratc,1632,udp
pammrpc,1633,udp
loaprobe,1634,udp
edb-server1,1635,udp
isdc,1636,udp
islc,1637,udp
ismc,1638,udp
cert-initiator,1639,udp
cert-responder,1640,udp
invision,1641,udp
isis-am,1642,udp
isis-ambc,1643,udp
saiseh,1644,udp
sightline,1645,udp
sa-msg-port,1646,udp
rsap,1647,udp
concurrent-lm,1648,udp
kermit,1649,udp
nkd,1650,udp
shiva-confsrvr,1651,udp
shiva_confsrvr,1651,udp
xnmp,1652,udp
alphatech-lm,1653,udp
stargatealerts,1654,udp
dec-mbadmin,1655,udp
dec-mbadmin-h,1656,udp
fujitsu-mmpdc,1657,udp
sixnetudr,1658,udp
sg-lm,1659,udp
skip-mc-gikreq,1660,udp
netview-aix-1,1661,udp
netview-aix-2,1662,udp
netview-aix-3,1663,udp
netview-aix-4,1664,udp
netview-aix-5,1665,udp
netview-aix-6,1666,udp
netview-aix-7,1667,udp
netview-aix-8,1668,udp
netview-aix-9,1669,udp
netview-aix-10,1670,udp
netview-aix-11,1671,udp
netview-aix-12,1672,udp
proshare-mc-1,1673,udp
proshare-mc-2,1674,udp
pdp,1675,udp
netcomm2,1676,udp
groupwise,1677,udp
prolink,1678,udp
darcorp-lm,1679,udp
microcom-sbp,1680,udp
sd-elmd,1681,udp
lanyon-lantern,1682,udp
ncpm-hip,1683,udp
snaresecure,1684,udp
n2nremote,1685,udp
cvmon,1686,udp
nsjtp-ctrl,1687,udp
nsjtp-data,1688,udp
firefox,1689,udp
ng-umds,1690,udp
empire-empuma,1691,udp
sstsys-lm,1692,udp
rrirtr,1693,udp
rrimwm,1694,udp
rrilwm,1695,udp
rrifmm,1696,udp
rrisat,1697,udp
rsvp-encap-1,1698,udp
rsvp-encap-2,1699,udp
mps-raft,1700,udp
l2f,1701,udp
l2tp,1701,udp
deskshare,1702,udp
hb-engine,1703,udp
bcs-broker,1704,udp
slingshot,1705,udp
jetform,1706,udp
vdmplay,1707,udp
gat-lmd,1708,udp
centra,1709,udp
impera,1710,udp
pptconference,1711,udp
registrar,1712,udp
conferencetalk,1713,udp
sesi-lm,1714,udp
houdini-lm,1715,udp
xmsg,1716,udp
fj-hdnet,1717,udp
h323gatedisc,1718,udp
h323gatestat,1719,udp
h323hostcall,1720,udp
caicci,1721,udp
hks-lm,1722,udp
pptp,1723,udp
csbphonemaster,1724,udp
iden-ralp,1725,udp
iberiagames,1726,udp
winddx,1727,udp
telindus,1728,udp
citynl,1729,udp
roketz,1730,udp
msiccp,1731,udp
proxim,1732,udp
siipat,1733,udp
cambertx-lm,1734,udp
privatechat,1735,udp
street-stream,1736,udp
ultimad,1737,udp
gamegen1,1738,udp
webaccess,1739,udp
encore,1740,udp
cisco-net-mgmt,1741,udp
3Com-nsd,1742,udp
cinegrfx-lm,1743,udp
ncpm-ft,1744,udp
remote-winsock,1745,udp
ftrapid-1,1746,udp
ftrapid-2,1747,udp
oracle-em1,1748,udp
aspen-services,1749,udp
sslp,1750,udp
swiftnet,1751,udp
lofr-lm,1752,udp
oracle-em2,1754,udp
ms-streaming,1755,udp
capfast-lmd,1756,udp
cnhrp,1757,udp
tftp-mcast,1758,udp
spss-lm,1759,udp
www-ldap-gw,1760,udp
cft-0,1761,udp
cft-1,1762,udp
cft-2,1763,udp
cft-3,1764,udp
cft-4,1765,udp
cft-5,1766,udp
cft-6,1767,udp
cft-7,1768,udp
bmc-net-adm,1769,udp
bmc-net-svc,1770,udp
vaultbase,1771,udp
essweb-gw,1772,udp
kmscontrol,1773,udp
global-dtserv,1774,udp
femis,1776,udp
powerguardian,1777,udp
prodigy-intrnet,1778,udp
pharmasoft,1779,udp
dpkeyserv,1780,udp
answersoft-lm,1781,udp
hp-hcip,1782,udp
finle-lm,1784,udp
windlm,1785,udp
funk-logger,1786,udp
funk-license,1787,udp
psmond,1788,udp
hello,1789,udp
nmsp,1790,udp
ea1,1791,udp
ibm-dt-2,1792,udp
rsc-robot,1793,udp
cera-bcm,1794,udp
dpi-proxy,1795,udp
vocaltec-admin,1796,udp
uma,1797,udp
etp,1798,udp
netrisk,1799,udp
ansys-lm,1800,udp
msmq,1801,udp
concomp1,1802,udp
hp-hcip-gwy,1803,udp
enl,1804,udp
enl-name,1805,udp
musiconline,1806,udp
fhsp,1807,udp
oracle-vp2,1808,udp
oracle-vp1,1809,udp
jerand-lm,1810,udp
scientia-sdb,1811,udp
radius,1812,udp
radius-acct,1813,udp
tdp-suite,1814,udp
mmpft,1815,udp
harp,1816,udp
rkb-oscs,1817,udp
etftp,1818,udp
plato-lm,1819,udp
mcagent,1820,udp
donnyworld,1821,udp
es-elmd,1822,udp
unisys-lm,1823,udp
metrics-pas,1824,udp
direcpc-video,1825,udp
ardt,1826,udp
asi,1827,udp
itm-mcell-u,1828,udp
optika-emedia,1829,udp
net8-cman,1830,udp
myrtle,1831,udp
tht-treasure,1832,udp
udpradio,1833,udp
ardusuni,1834,udp
ardusmul,1835,udp
ste-smsc,1836,udp
csoft1,1837,udp
talnet,1838,udp
netopia-vo1,1839,udp
netopia-vo2,1840,udp
netopia-vo3,1841,udp
netopia-vo4,1842,udp
netopia-vo5,1843,udp
direcpc-dll,1844,udp
altalink,1845,udp
tunstall-pnc,1846,udp
slp-notify,1847,udp
fjdocdist,1848,udp
alpha-sms,1849,udp
gsi,1850,udp
ctcd,1851,udp
virtual-time,1852,udp
vids-avtp,1853,udp
buddy-draw,1854,udp
fiorano-rtrsvc,1855,udp
fiorano-msgsvc,1856,udp
datacaptor,1857,udp
privateark,1858,udp
gammafetchsvr,1859,udp
sunscalar-svc,1860,udp
lecroy-vicp,1861,udp
mysql-cm-agent,1862,udp
msnp,1863,udp
paradym-31port,1864,udp
entp,1865,udp
swrmi,1866,udp
udrive,1867,udp
viziblebrowser,1868,udp
transact,1869,udp
sunscalar-dns,1870,udp
canocentral0,1871,udp
canocentral1,1872,udp
fjmpjps,1873,udp
fjswapsnp,1874,udp
westell-stats,1875,udp
ewcappsrv,1876,udp
hp-webqosdb,1877,udp
drmsmc,1878,udp
nettgain-nms,1879,udp
vsat-control,1880,udp
ibm-mqseries2,1881,udp
ecsqdmn,1882,udp
mqtt,1883,udp
idmaps,1884,udp
vrtstrapserver,1885,udp
leoip,1886,udp
filex-lport,1887,udp
ncconfig,1888,udp
unify-adapter,1889,udp
wilkenlistener,1890,udp
childkey-notif,1891,udp
childkey-ctrl,1892,udp
elad,1893,udp
o2server-port,1894,udp
b-novative-ls,1896,udp
metaagent,1897,udp
cymtec-port,1898,udp
mc2studios,1899,udp
ssdp,1900,udp
fjicl-tep-a,1901,udp
fjicl-tep-b,1902,udp
linkname,1903,udp
fjicl-tep-c,1904,udp
sugp,1905,udp
tpmd,1906,udp
intrastar,1907,udp
dawn,1908,udp
global-wlink,1909,udp
ultrabac,1910,udp
mtp,1911,udp
rhp-iibp,1912,udp
armadp,1913,udp
elm-momentum,1914,udp
facelink,1915,udp
persona,1916,udp
noagent,1917,udp
can-nds,1918,udp
can-dch,1919,udp
can-ferret,1920,udp
noadmin,1921,udp
tapestry,1922,udp
spice,1923,udp
xiip,1924,udp
discovery-port,1925,udp
egs,1926,udp
videte-cipc,1927,udp
emsd-port,1928,udp
bandwiz-system,1929,udp
driveappserver,1930,udp
amdsched,1931,udp
ctt-broker,1932,udp
xmapi,1933,udp
xaapi,1934,udp
macromedia-fcs,1935,udp
jetcmeserver,1936,udp
jwserver,1937,udp
jwclient,1938,udp
jvserver,1939,udp
jvclient,1940,udp
dic-aida,1941,udp
res,1942,udp
beeyond-media,1943,udp
close-combat,1944,udp
dialogic-elmd,1945,udp
tekpls,1946,udp
sentinelsrm,1947,udp
eye2eye,1948,udp
ismaeasdaqlive,1949,udp
ismaeasdaqtest,1950,udp
bcs-lmserver,1951,udp
mpnjsc,1952,udp
rapidbase,1953,udp
abr-api,1954,udp
abr-secure,1955,udp
vrtl-vmf-ds,1956,udp
unix-status,1957,udp
dxadmind,1958,udp
simp-all,1959,udp
nasmanager,1960,udp
bts-appserver,1961,udp
biap-mp,1962,udp
webmachine,1963,udp
solid-e-engine,1964,udp
tivoli-npm,1965,udp
slush,1966,udp
sns-quote,1967,udp
lipsinc,1968,udp
lipsinc1,1969,udp
netop-rc,1970,udp
netop-school,1971,udp
intersys-cache,1972,udp
dlsrap,1973,udp
drp,1974,udp
tcoflashagent,1975,udp
tcoregagent,1976,udp
tcoaddressbook,1977,udp
unisql,1978,udp
unisql-java,1979,udp
pearldoc-xact,1980,udp
p2pq,1981,udp
estamp,1982,udp
lhtp,1983,udp
bb,1984,udp
hsrp,1985,udp
licensedaemon,1986,udp
tr-rsrb-p1,1987,udp
tr-rsrb-p2,1988,udp
tr-rsrb-p3,1989,udp
mshnet,1989,udp
stun-p1,1990,udp
stun-p2,1991,udp
stun-p3,1992,udp
ipsendmsg,1992,udp
snmp-tcp-port,1993,udp
stun-port,1994,udp
perf-port,1995,udp
tr-rsrb-port,1996,udp
gdp-port,1997,udp
x25-svc-port,1998,udp
tcp-id-port,1999,udp
cisco-sccp,2000,udp
wizard,2001,udp
globe,2002,udp
brutus,2003,udp
emce,2004,udp
oracle,2005,udp
raid-cd,2006,udp
raid-am,2007,udp
terminaldb,2008,udp
whosockami,2009,udp
pipe-server,2010,udp
pipe_server,2010,udp
servserv,2011,udp
raid-ac,2012,udp
raid-cd,2013,udp
raid-sf,2014,udp
raid-cs,2015,udp
bootserver,2016,udp
bootclient,2017,udp
rellpack,2018,udp
about,2019,udp
xinupageserver,2020,udp
xinuexpansion1,2021,udp
xinuexpansion2,2022,udp
xinuexpansion3,2023,udp
xinuexpansion4,2024,udp
xribs,2025,udp
scrabble,2026,udp
shadowserver,2027,udp
submitserver,2028,udp
hsrpv6,2029,udp
device2,2030,udp
mobrien-chat,2031,udp
blackboard,2032,udp
glogger,2033,udp
scoremgr,2034,udp
imsldoc,2035,udp
e-dpnet,2036,udp
applus,2037,udp
objectmanager,2038,udp
prizma,2039,udp
lam,2040,udp
interbase,2041,udp
isis,2042,udp
isis-bcast,2043,udp
rimsl,2044,udp
cdfunc,2045,udp
sdfunc,2046,udp
dls,2047,udp
dls-monitor,2048,udp
shilp,2049,udp
nfs,2049,udp
av-emb-config,2050,udp
epnsdp,2051,udp
clearvisn,2052,udp
lot105-ds-upd,2053,udp
weblogin,2054,udp
iop,2055,udp
omnisky,2056,udp
rich-cp,2057,udp
newwavesearch,2058,udp
bmc-messaging,2059,udp
teleniumdaemon,2060,udp
netmount,2061,udp
icg-swp,2062,udp
icg-bridge,2063,udp
icg-iprelay,2064,udp
dlsrpn,2065,udp
aura,2066,udp
dlswpn,2067,udp
avauthsrvprtcl,2068,udp
event-port,2069,udp
ah-esp-encap,2070,udp
acp-port,2071,udp
msync,2072,udp
gxs-data-port,2073,udp
vrtl-vmf-sa,2074,udp
newlixengine,2075,udp
newlixconfig,2076,udp
tsrmagt,2077,udp
tpcsrvr,2078,udp
idware-router,2079,udp
autodesk-nlm,2080,udp
kme-trap-port,2081,udp
infowave,2082,udp
radsec,2083,udp
sunclustergeo,2084,udp
ada-cip,2085,udp
gnunet,2086,udp
eli,2087,udp
ip-blf,2088,udp
sep,2089,udp
lrp,2090,udp
prp,2091,udp
descent3,2092,udp
nbx-cc,2093,udp
nbx-au,2094,udp
nbx-ser,2095,udp
nbx-dir,2096,udp
jetformpreview,2097,udp
dialog-port,2098,udp
h2250-annex-g,2099,udp
amiganetfs,2100,udp
rtcm-sc104,2101,udp
zephyr-srv,2102,udp
zephyr-clt,2103,udp
zephyr-hm,2104,udp
minipay,2105,udp
mzap,2106,udp
bintec-admin,2107,udp
comcam,2108,udp
ergolight,2109,udp
umsp,2110,udp
dsatp,2111,udp
idonix-metanet,2112,udp
hsl-storm,2113,udp
ariascribe,2114,udp
kdm,2115,udp
ccowcmr,2116,udp
mentaclient,2117,udp
mentaserver,2118,udp
gsigatekeeper,2119,udp
qencp,2120,udp
scientia-ssdb,2121,udp
caupc-remote,2122,udp
gtp-control,2123,udp
elatelink,2124,udp
lockstep,2125,udp
pktcable-cops,2126,udp
index-pc-wb,2127,udp
net-steward,2128,udp
cs-live,2129,udp
xds,2130,udp
avantageb2b,2131,udp
solera-epmap,2132,udp
zymed-zpp,2133,udp
avenue,2134,udp
gris,2135,udp
appworxsrv,2136,udp
connect,2137,udp
unbind-cluster,2138,udp
ias-auth,2139,udp
ias-reg,2140,udp
ias-admind,2141,udp
tdmoip,2142,udp
lv-jc,2143,udp
lv-ffx,2144,udp
lv-pici,2145,udp
lv-not,2146,udp
lv-auth,2147,udp
veritas-ucl,2148,udp
acptsys,2149,udp
dynamic3d,2150,udp
docent,2151,udp
gtp-user,2152,udp
ctlptc,2153,udp
stdptc,2154,udp
brdptc,2155,udp
trp,2156,udp
xnds,2157,udp
touchnetplus,2158,udp
gdbremote,2159,udp
apc-2160,2160,udp
apc-2161,2161,udp
navisphere,2162,udp
navisphere-sec,2163,udp
ddns-v3,2164,udp
x-bone-api,2165,udp
iwserver,2166,udp
raw-serial,2167,udp
easy-soft-mux,2168,udp
brain,2169,udp
eyetv,2170,udp
msfw-storage,2171,udp
msfw-s-storage,2172,udp
msfw-replica,2173,udp
msfw-array,2174,udp
airsync,2175,udp
rapi,2176,udp
qwave,2177,udp
bitspeer,2178,udp
vmrdp,2179,udp
mc-gt-srv,2180,udp
eforward,2181,udp
cgn-stat,2182,udp
cgn-config,2183,udp
nvd,2184,udp
onbase-dds,2185,udp
gtaua,2186,udp
ssmd,2187,udp
tivoconnect,2190,udp
tvbus,2191,udp
asdis,2192,udp
drwcs,2193,udp
mnp-exchange,2197,udp
onehome-remote,2198,udp
onehome-help,2199,udp
ats,2201,udp
imtc-map,2202,udp
b2-runtime,2203,udp
b2-license,2204,udp
jps,2205,udp
hpocbus,2206,udp
hpssd,2207,udp
hpiod,2208,udp
rimf-ps,2209,udp
noaaport,2210,udp
emwin,2211,udp
leecoposserver,2212,udp
kali,2213,udp
rpi,2214,udp
ipcore,2215,udp
vtu-comms,2216,udp
gotodevice,2217,udp
bounzza,2218,udp
netiq-ncap,2219,udp
netiq,2220,udp
ethernet-ip-s,2221,udp
EtherNet-IP-1,2222,udp
EtherNet/IP-1,2222,udp
rockwell-csp2,2223,udp
efi-mg,2224,udp
di-drm,2226,udp
di-msg,2227,udp
ehome-ms,2228,udp
datalens,2229,udp
queueadm,2230,udp
wimaxasncp,2231,udp
ivs-video,2232,udp
infocrypt,2233,udp
directplay,2234,udp
sercomm-wlink,2235,udp
nani,2236,udp
optech-port1-lm,2237,udp
aviva-sna,2238,udp
imagequery,2239,udp
recipe,2240,udp
ivsd,2241,udp
foliocorp,2242,udp
magicom,2243,udp
nmsserver,2244,udp
hao,2245,udp
pc-mta-addrmap,2246,udp
antidotemgrsvr,2247,udp
ums,2248,udp
rfmp,2249,udp
remote-collab,2250,udp
dif-port,2251,udp
njenet-ssl,2252,udp
dtv-chan-req,2253,udp
seispoc,2254,udp
vrtp,2255,udp
pcc-mfp,2256,udp
simple-tx-rx,2257,udp
rcts,2258,udp
bid-serv,2259,udp
apc-2260,2260,udp
comotionmaster,2261,udp
comotionback,2262,udp
ecwcfg,2263,udp
apx500api-1,2264,udp
apx500api-2,2265,udp
mfserver,2266,udp
ontobroker,2267,udp
amt,2268,udp
mikey,2269,udp
starschool,2270,udp
mmcals,2271,udp
mmcal,2272,udp
mysql-im,2273,udp
pcttunnell,2274,udp
ibridge-data,2275,udp
ibridge-mgmt,2276,udp
bluectrlproxy,2277,udp
s3db,2278,udp
xmquery,2279,udp
lnvpoller,2280,udp
lnvconsole,2281,udp
lnvalarm,2282,udp
lnvstatus,2283,udp
lnvmaps,2284,udp
lnvmailmon,2285,udp
nas-metering,2286,udp
dna,2287,udp
netml,2288,udp
dict-lookup,2289,udp
sonus-logging,2290,udp
eapsp,2291,udp
mib-streaming,2292,udp
npdbgmngr,2293,udp
konshus-lm,2294,udp
advant-lm,2295,udp
theta-lm,2296,udp
d2k-datamover1,2297,udp
d2k-datamover2,2298,udp
pc-telecommute,2299,udp
cvmmon,2300,udp
cpq-wbem,2301,udp
binderysupport,2302,udp
proxy-gateway,2303,udp
attachmate-uts,2304,udp
mt-scaleserver,2305,udp
tappi-boxnet,2306,udp
pehelp,2307,udp
sdhelp,2308,udp
sdserver,2309,udp
sdclient,2310,udp
messageservice,2311,udp
wanscaler,2312,udp
iapp,2313,udp
cr-websystems,2314,udp
precise-sft,2315,udp
sent-lm,2316,udp
attachmate-g32,2317,udp
cadencecontrol,2318,udp
infolibria,2319,udp
siebel-ns,2320,udp
rdlap,2321,udp
ofsd,2322,udp
3d-nfsd,2323,udp
cosmocall,2324,udp
ansysli,2325,udp
idcp,2326,udp
xingcsm,2327,udp
netrix-sftm,2328,udp
nvd,2329,udp
tscchat,2330,udp
agentview,2331,udp
rcc-host,2332,udp
snapp,2333,udp
ace-client,2334,udp
ace-proxy,2335,udp
appleugcontrol,2336,udp
ideesrv,2337,udp
norton-lambert,2338,udp
3com-webview,2339,udp
wrs-registry,2340,udp
wrs_registry,2340,udp
xiostatus,2341,udp
manage-exec,2342,udp
nati-logos,2343,udp
fcmsys,2344,udp
dbm,2345,udp
redstorm-join,2346,udp
redstorm_join,2346,udp
redstorm-find,2347,udp
redstorm_find,2347,udp
redstorm-info,2348,udp
redstorm_info,2348,udp
redstorm-diag,2349,udp
redstorm_diag,2349,udp
psbserver,2350,udp
psrserver,2351,udp
pslserver,2352,udp
pspserver,2353,udp
psprserver,2354,udp
psdbserver,2355,udp
gxtelmd,2356,udp
unihub-server,2357,udp
futrix,2358,udp
flukeserver,2359,udp
nexstorindltd,2360,udp
tl1,2361,udp
digiman,2362,udp
mediacntrlnfsd,2363,udp
oi-2000,2364,udp
dbref,2365,udp
qip-login,2366,udp
service-ctrl,2367,udp
opentable,2368,udp
bif-p2p,2369,udp
l3-hbmon,2370,udp
lanmessenger,2372,udp
dali,2378,udp
compaq-https,2381,udp
ms-olap3,2382,udp
ms-olap4,2383,udp
sd-capacity,2384,udp
sd-data,2385,udp
virtualtape,2386,udp
vsamredirector,2387,udp
mynahautostart,2388,udp
ovsessionmgr,2389,udp
rsmtp,2390,udp
3com-net-mgmt,2391,udp
tacticalauth,2392,udp
ms-olap1,2393,udp
ms-olap2,2394,udp
lan900-remote,2395,udp
lan900_remote,2395,udp
wusage,2396,udp
ncl,2397,udp
orbiter,2398,udp
fmpro-fdal,2399,udp
opequus-server,2400,udp
cvspserver,2401,udp
taskmaster2000,2402,udp
taskmaster2000,2403,udp
iec-104,2404,udp
trc-netpoll,2405,udp
jediserver,2406,udp
orion,2407,udp
sns-protocol,2409,udp
vrts-registry,2410,udp
netwave-ap-mgmt,2411,udp
cdn,2412,udp
orion-rmi-reg,2413,udp
beeyond,2414,udp
codima-rtp,2415,udp
rmtserver,2416,udp
composit-server,2417,udp
cas,2418,udp
attachmate-s2s,2419,udp
dslremote-mgmt,2420,udp
g-talk,2421,udp
crmsbits,2422,udp
rnrp,2423,udp
kofax-svr,2424,udp
fjitsuappmgr,2425,udp
vcmp,2426,udp
mgcp-gateway,2427,udp
ott,2428,udp
ft-role,2429,udp
venus,2430,udp
venus-se,2431,udp
codasrv,2432,udp
codasrv-se,2433,udp
pxc-epmap,2434,udp
optilogic,2435,udp
topx,2436,udp
unicontrol,2437,udp
msp,2438,udp
sybasedbsynch,2439,udp
spearway,2440,udp
pvsw-inet,2441,udp
netangel,2442,udp
powerclientcsf,2443,udp
btpp2sectrans,2444,udp
dtn1,2445,udp
bues-service,2446,udp
bues_service,2446,udp
ovwdb,2447,udp
hpppssvr,2448,udp
ratl,2449,udp
netadmin,2450,udp
netchat,2451,udp
snifferclient,2452,udp
madge-ltd,2453,udp
indx-dds,2454,udp
wago-io-system,2455,udp
altav-remmgt,2456,udp
rapido-ip,2457,udp
griffin,2458,udp
xrpl,2459,udp
ms-theater,2460,udp
qadmifoper,2461,udp
qadmifevent,2462,udp
lsi-raid-mgmt,2463,udp
direcpc-si,2464,udp
lbm,2465,udp
lbf,2466,udp
high-criteria,2467,udp
qip-msgd,2468,udp
mti-tcs-comm,2469,udp
taskman-port,2470,udp
seaodbc,2471,udp
c3,2472,udp
aker-cdp,2473,udp
vitalanalysis,2474,udp
ace-server,2475,udp
ace-svr-prop,2476,udp
ssm-cvs,2477,udp
ssm-cssps,2478,udp
ssm-els,2479,udp
powerexchange,2480,udp
giop,2481,udp
giop-ssl,2482,udp
ttc,2483,udp
ttc-ssl,2484,udp
netobjects1,2485,udp
netobjects2,2486,udp
pns,2487,udp
moy-corp,2488,udp
tsilb,2489,udp
qip-qdhcp,2490,udp
conclave-cpp,2491,udp
groove,2492,udp
talarian-mqs,2493,udp
bmc-ar,2494,udp
fast-rem-serv,2495,udp
dirgis,2496,udp
quaddb,2497,udp
odn-castraq,2498,udp
unicontrol,2499,udp
rtsserv,2500,udp
rtsclient,2501,udp
kentrox-prot,2502,udp
nms-dpnss,2503,udp
wlbs,2504,udp
ppcontrol,2505,udp
jbroker,2506,udp
spock,2507,udp
jdatastore,2508,udp
fjmpss,2509,udp
fjappmgrbulk,2510,udp
metastorm,2511,udp
citrixima,2512,udp
citrixadmin,2513,udp
facsys-ntp,2514,udp
facsys-router,2515,udp
maincontrol,2516,udp
call-sig-trans,2517,udp
willy,2518,udp
globmsgsvc,2519,udp
pvsw,2520,udp
adaptecmgr,2521,udp
windb,2522,udp
qke-llc-v3,2523,udp
optiwave-lm,2524,udp
ms-v-worlds,2525,udp
ema-sent-lm,2526,udp
iqserver,2527,udp
ncr-ccl,2528,udp
ncr_ccl,2528,udp
utsftp,2529,udp
vrcommerce,2530,udp
ito-e-gui,2531,udp
ovtopmd,2532,udp
snifferserver,2533,udp
combox-web-acc,2534,udp
madcap,2535,udp
btpp2audctr1,2536,udp
upgrade,2537,udp
vnwk-prapi,2538,udp
vsiadmin,2539,udp
lonworks,2540,udp
lonworks2,2541,udp
udrawgraph,2542,udp
reftek,2543,udp
novell-zen,2544,udp
sis-emt,2545,udp
vytalvaultbrtp,2546,udp
vytalvaultvsmp,2547,udp
vytalvaultpipe,2548,udp
ipass,2549,udp
ads,2550,udp
isg-uda-server,2551,udp
call-logging,2552,udp
efidiningport,2553,udp
vcnet-link-v10,2554,udp
compaq-wcp,2555,udp
nicetec-nmsvc,2556,udp
nicetec-mgmt,2557,udp
pclemultimedia,2558,udp
lstp,2559,udp
labrat,2560,udp
mosaixcc,2561,udp
delibo,2562,udp
cti-redwood,2563,udp
hp-3000-telnet,2564,udp
coord-svr,2565,udp
pcs-pcw,2566,udp
clp,2567,udp
spamtrap,2568,udp
sonuscallsig,2569,udp
hs-port,2570,udp
cecsvc,2571,udp
ibp,2572,udp
trustestablish,2573,udp
blockade-bpsp,2574,udp
hl7,2575,udp
tclprodebugger,2576,udp
scipticslsrvr,2577,udp
rvs-isdn-dcp,2578,udp
mpfoncl,2579,udp
tributary,2580,udp
argis-te,2581,udp
argis-ds,2582,udp
mon,2583,udp
cyaserv,2584,udp
netx-server,2585,udp
netx-agent,2586,udp
masc,2587,udp
privilege,2588,udp
quartus-tcl,2589,udp
idotdist,2590,udp
maytagshuffle,2591,udp
netrek,2592,udp
mns-mail,2593,udp
dts,2594,udp
worldfusion1,2595,udp
worldfusion2,2596,udp
homesteadglory,2597,udp
citriximaclient,2598,udp
snapd,2599,udp
hpstgmgr,2600,udp
discp-client,2601,udp
discp-server,2602,udp
servicemeter,2603,udp
nsc-ccs,2604,udp
nsc-posa,2605,udp
netmon,2606,udp
connection,2607,udp
wag-service,2608,udp
system-monitor,2609,udp
versa-tek,2610,udp
lionhead,2611,udp
qpasa-agent,2612,udp
smntubootstrap,2613,udp
neveroffline,2614,udp
firepower,2615,udp
appswitch-emp,2616,udp
cmadmin,2617,udp
priority-e-com,2618,udp
bruce,2619,udp
lpsrecommender,2620,udp
miles-apart,2621,udp
metricadbc,2622,udp
lmdp,2623,udp
aria,2624,udp
blwnkl-port,2625,udp
gbjd816,2626,udp
moshebeeri,2627,udp
dict,2628,udp
sitaraserver,2629,udp
sitaramgmt,2630,udp
sitaradir,2631,udp
irdg-post,2632,udp
interintelli,2633,udp
pk-electronics,2634,udp
backburner,2635,udp
solve,2636,udp
imdocsvc,2637,udp
sybaseanywhere,2638,udp
aminet,2639,udp
ami-control,2640,udp
hdl-srv,2641,udp
tragic,2642,udp
gte-samp,2643,udp
travsoft-ipx-t,2644,udp
novell-ipx-cmd,2645,udp
and-lm,2646,udp
syncserver,2647,udp
upsnotifyprot,2648,udp
vpsipport,2649,udp
eristwoguns,2650,udp
ebinsite,2651,udp
interpathpanel,2652,udp
sonus,2653,udp
corel-vncadmin,2654,udp
corel_vncadmin,2654,udp
unglue,2655,udp
kana,2656,udp
sns-dispatcher,2657,udp
sns-admin,2658,udp
sns-query,2659,udp
gcmonitor,2660,udp
olhost,2661,udp
bintec-capi,2662,udp
bintec-tapi,2663,udp
patrol-mq-gm,2664,udp
patrol-mq-nm,2665,udp
extensis,2666,udp
alarm-clock-s,2667,udp
alarm-clock-c,2668,udp
toad,2669,udp
tve-announce,2670,udp
